Name,Low IP,High IP,Malware Type,Confidence,Severity,ASN,Org,Country,Description,Last Seen
109.12.111.14,109.12.111.14,109.12.111.14,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
109.228.255.59,109.228.255.59,109.228.255.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
110.174.64.179,110.174.64.179,110.174.64.179,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
111.230.104.169,111.230.104.169,111.230.104.169,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
111.235.66.83,111.235.66.83,111.235.66.83,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
111.250.36.194,111.250.36.194,111.250.36.194,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
114.79.130.68,114.79.130.68,114.79.130.68,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
115.96.53.68,115.96.53.68,115.96.53.68,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
115.96.62.113,115.96.62.113,115.96.62.113,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
115.96.64.9,115.96.64.9,115.96.64.9,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
115.99.227.13,115.99.227.13,115.99.227.13,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
116.203.55.59,116.203.55.59,116.203.55.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
116.206.153.212,116.206.153.212,116.206.153.212,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
117.222.57.92,117.222.57.92,117.222.57.92,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
117.222.61.115,117.222.61.115,117.222.61.115,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
117.248.109.38,117.248.109.38,117.248.109.38,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
118.91.190.42,118.91.190.42,118.91.190.42,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
120.150.218.241,120.150.218.241,120.150.218.241,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
120.151.47.189,120.151.47.189,120.151.47.189,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
121.199.35.69,121.199.35.69,121.199.35.69,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
122.11.220.212,122.11.220.212,122.11.220.212,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
122.117.90.133,122.117.90.133,122.117.90.133,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
122.60.71.201,122.60.71.201,122.60.71.201,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
123.252.190.14,123.252.190.14,123.252.190.14,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
124.123.42.115,124.123.42.115,124.123.42.115,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
124.41.211.17,124.41.211.17,124.41.211.17,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
125.234.128.250,125.234.128.250,125.234.128.250,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
128.199.192.135,128.199.192.135,128.199.192.135,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
128.199.206.91,128.199.206.91,128.199.206.91,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
128.199.232.159,128.199.232.159,128.199.232.159,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
128.201.76.252,128.201.76.252,128.201.76.252,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
129.208.147.188,129.208.147.188,129.208.147.188,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
131.100.24.199,131.100.24.199,131.100.24.199,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
134.209.182.12,134.209.182.12,134.209.182.12,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
136.143.11.232,136.143.11.232,136.143.11.232,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
136.144.131.189,136.144.131.189,136.144.131.189,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
136.228.128.21,136.228.128.21,136.228.128.21,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
136.232.254.46,136.232.254.46,136.232.254.46,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
136.232.34.70,136.232.34.70,136.232.34.70,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
137.74.112.43,137.74.112.43,137.74.112.43,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
138.121.91.136,138.121.91.136,138.121.91.136,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
138.197.109.175,138.197.109.175,138.197.109.175,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
139.255.199.196,139.255.199.196,139.255.199.196,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
139.59.59.242,139.59.59.242,139.59.59.242,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
14.102.15.101,14.102.15.101,14.102.15.101,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
142.11.214.93,142.11.214.93,142.11.214.93,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
142.4.219.173,142.4.219.173,142.4.219.173,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
142.44.247.57,142.44.247.57,142.44.247.57,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
143.244.140.214,143.244.140.214,143.244.140.214,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
143.92.137.106,143.92.137.106,143.92.137.106,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
144.139.47.206,144.139.47.206,144.139.47.206,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
144.76.1.150,144.76.1.150,144.76.1.150,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
144.76.42.74,144.76.42.74,144.76.42.74,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
146.66.238.74,146.66.238.74,146.66.238.74,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
148.235.154.164,148.235.154.164,148.235.154.164,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
